cd_cliente,nome_cliente,aquisição_cliente
1,Rosa,Organic
2,Joaquim,Social Media
3,Antônio,Direct
4,Pedro,Google Ads - Search
5,Josefa,Referral
6,Patrícia,Organic
7,Raimundo,Referral
8,Sônia,Organic
9,Márci,Organic
10,Fernando,Google Ads - Search
11,Francisca,Referral
12,Márci,Facebook Ads - Facebook
13,Sebastião,Organic
14,Fabio,Criteo Remarketing
15,Luis,Google Ads - Display
16,Eduardo,Organic
17,Antônia,Facebook Ads - Facebook
18,Rosa,Google Ads - Search
19,Geraldo,Direct
20,Marcelo,Direct
21,José,Organic
22,Luiz,Organic
23,Patrícia,Organic
24,Fabio,Organic
25,Mário,Referral
26,Márci,Organic
27,Rosa,Direct
28,Antônio,Google Ads - Search
29,Sandra,Direct
30,Maria,Criteo Remarketing
31,Alexandre,Social Media
32,Robert,Organic
33,Luiz,Criteo Remarketing
34,Sônia,Organic
35,Marcos,Direct
36,Marcos,Google Ads - Display
37,Luis,Organic
38,Alexandre,Organic
39,Maria,Organic
40,Sérgio,Organic
41,Carlos,Referral
42,Marcos,Organic
43,Ricardo,Organic
44,Raimunda,Organic
45,Josefa,Direct
46,Eduardo,Google Ads - Search
47,Terezinha,Organic
48,Mário,Direct
49,Márci,Google Ads - Display
50,Ricardo,Organic
51,Antônio,Direct
52,Antônio,Google Ads - Search
53,Alexandre,Direct
54,João,Direct
55,Maria,Direct
56,Márci,Direct
57,Terezinha,Google Ads - Youtube
58,Pedro,Organic
59,Leandro,Organic
60,Sandra,Google Ads - Search
61,Joaquim,Organic
62,Daniel,Organic
63,Jorge,Direct
64,Fabio,Google Ads - Search
65,Sérgio,Organic
66,Rita,Social Media
67,José,Organic
68,Luciana,Direct
69,Raimunda,Social Media
70,Robert,Google Ads - Display
71,Geraldo,Direct
72,Manoel,Google Ads - Display
73,Fernando,Organic
74,Mário,Organic
75,Terezinha,Organic
76,Vera,Direct
77,Sérgio,Direct
78,Luis,Organic
79,Carlos,Google Ads - Search
80,Leandro,Direct
81,João,Facebook Ads - Instagram
82,Antônio,Organic
83,Benedito,Direct
84,Joaquim,Direct
85,Rafael,Direct
86,Marcos,Google Ads - Youtube
87,Sônia,Organic
88,Leandro,Organic
89,Adriana,Organic
90,Sérgio,Google Ads - Search
91,Marcos,Direct
92,Rodrigo,Direct
93,Adriana,Organic
94,Ricardo,Social Media
95,Rosa,Referral
96,Eduardo,Organic
97,Marcelo,Organic
98,Sônia,Organic
99,José,Direct
100,Alexandre,Organic
101,Francisco,Facebook Ads - Facebook
102,Márci,Organic
103,Francisco,Organic
104,Ana,Facebook Ads - Instagram
105,Ricardo,Direct
106,Luciana,Organic
107,Marcelo,Organic
108,Raimundo,Google Ads - Search
109,Fernando,Organic
110,Benedito,Direct
111,Sandra,Facebook Ads - Facebook
112,Antônia,Direct
113,Luiz,Organic
114,André,Google Ads - Search
115,Robert,Google Ads - Search
116,Maria,Direct
117,Manoel,Direct
118,Rodrigo,Direct
119,Maria,Facebook Ads - Instagram
120,Fernando,Criteo Remarketing
121,Ana,Direct
122,Francisca,Organic
123,Antônio,Direct
124,Marcos,Social Media
125,Márci,Organic
126,Raimundo,Google Ads - Search
127,Robert,Organic
128,Rita,Organic
129,Benedito,Facebook Ads - Instagram
130,Maria,Google Ads - Search
131,Sebastião,Social Media
132,Carlos,Google Ads - Search
133,Sandra,Direct
134,André,Criteo Remarketing
135,Patrícia,Organic
136,Marcelo,Google Ads - Search
137,Josefa,Organic
138,Alexandre,Direct
139,José,Organic
140,Adriana,Direct
141,Rosa,Social Media
